path,start,end,index,caption,video_id,video_rank
output/frames/4966/img_000933.jpg,933,1212,933,"C stands at the kitchen counter, looking at the bowl of mixed vegetables. C reaches for a spoon, then picks up a container of seasoning. C begins to mix the vegetables with the seasoning.",4966,491
output/frames/4966/img_001173.jpg,933,1212,1173,"C stands at the kitchen counter, looking at the bowl of mixed vegetables. C reaches for a spoon, then picks up a container of seasoning. C begins to mix the vegetables with the seasoning.",4966,491
output/frames/4967/img_003587.jpg,3587,3842,3587,"C sits at a table filled with pottery tools and finished pieces. C picks up a piece of clay and begins to shape it with their hands. C continues to work on the clay, carefully molding it into a desired form.",4967,492
output/frames/4967/img_003827.jpg,3587,3842,3827,"C sits at a table filled with pottery tools and finished pieces. C picks up a piece of clay and begins to shape it with their hands. C continues to work on the clay, carefully molding it into a desired form.",4967,492
output/frames/4967/img_004424.jpg,4424,4879,4424,"C sits at a table filled with clay pieces and tools, carefully shaping a small clay object with their hands. They focus intently on the task, their fingers delicately molding the clay. The table is cluttered with various pottery items, indicating a busy and creative workspace.",4967,492
output/frames/4967/img_004664.jpg,4424,4879,4664,"C sits at a table filled with clay pieces and tools, carefully shaping a small clay object with their hands. They focus intently on the task, their fingers delicately molding the clay. The table is cluttered with various pottery items, indicating a busy and creative workspace.",4967,492
output/frames/4967/img_004880.jpg,4880,5053,4880,"C sits at a table covered in clay and pottery tools, their hands dusted with clay. They gently rub their hands together, preparing for the next step in their pottery work. The table is cluttered with various clay pieces and tools, indicating a busy and creative workspace.",4967,492
output/frames/4988/img_003805.jpg,3805,4388,3805,"C picks up a paintbrush and begins painting on a canvas, carefully applying paint to the surface. C then reaches for a watercolor palette, selecting a color and adding it to the painting. C continues to paint, focusing on the details of the artwork.",4988,493
output/frames/4988/img_003925.jpg,3805,4388,3925,"C picks up a paintbrush and begins painting on a canvas, carefully applying paint to the surface. C then reaches for a watercolor palette, selecting a color and adding it to the painting. C continues to paint, focusing on the details of the artwork.",4988,493
output/frames/4988/img_004045.jpg,3805,4388,4045,"C picks up a paintbrush and begins painting on a canvas, carefully applying paint to the surface. C then reaches for a watercolor palette, selecting a color and adding it to the painting. C continues to paint, focusing on the details of the artwork.",4988,493
output/frames/4988/img_004165.jpg,3805,4388,4165,"C picks up a paintbrush and begins painting on a canvas, carefully applying paint to the surface. C then reaches for a watercolor palette, selecting a color and adding it to the painting. C continues to paint, focusing on the details of the artwork.",4988,493
output/frames/4988/img_004285.jpg,3805,4388,4285,"C picks up a paintbrush and begins painting on a canvas, carefully applying paint to the surface. C then reaches for a watercolor palette, selecting a color and adding it to the painting. C continues to paint, focusing on the details of the artwork.",4988,493
output/frames/4991/img_002302.jpg,2302,2473,2302,"C dribbles the ball, preparing to take a shot. They move quickly across the court, with a defender approaching. C leaps, shooting the ball towards the basket, but it goes wide.",4991,494
output/frames/4991/img_002644.jpg,2644,2848,2644,"C dribbles the ball, then jumps and shoots it towards the hoop. The ball goes through the net, and C lands on the court. C looks around the court, then starts to dribble again.",4991,494
output/frames/4991/img_003182.jpg,3182,3719,3182,"C dribbles the basketball, then passes it to a friend who is sitting on the court. The friend catches the ball and dribbles it back to C, who is now standing on the court. C looks around the court and sees a few other people sitting on the ground.",4991,494
output/frames/4991/img_003422.jpg,3182,3719,3422,"C dribbles the basketball, then passes it to a friend who is sitting on the court. The friend catches the ball and dribbles it back to C, who is now standing on the court. C looks around the court and sees a few other people sitting on the ground.",4991,494
output/frames/4991/img_003662.jpg,3182,3719,3662,"C dribbles the basketball, then passes it to a friend who is sitting on the court. The friend catches the ball and dribbles it back to C, who is now standing on the court. C looks around the court and sees a few other people sitting on the ground.",4991,494
output/frames/4995/img_000292.jpg,292,581,292,"C holds a piece of cardboard in their hands, examining it closely. They then place it on the table, where it rests among other pieces of cardboard and tools. C begins to work on the cardboard, using a tool to cut and shape it.",4995,495
output/frames/4995/img_000412.jpg,292,581,412,"C holds a piece of cardboard in their hands, examining it closely. They then place it on the table, where it rests among other pieces of cardboard and tools. C begins to work on the cardboard, using a tool to cut and shape it.",4995,495
output/frames/4995/img_000532.jpg,292,581,532,"C holds a piece of cardboard in their hands, examining it closely. They then place it on the table, where it rests among other pieces of cardboard and tools. C begins to work on the cardboard, using a tool to cut and shape it.",4995,495
output/frames/4995/img_001723.jpg,1723,2054,1723,"C places a piece of cardboard on a blue cutting mat, aligning it with a ruler. C then adjusts the cardboard, ensuring it is properly positioned for cutting. C picks up a pair of scissors and begins to cut the cardboard along the ruler's edge.",4995,495
output/frames/4995/img_001843.jpg,1723,2054,1843,"C places a piece of cardboard on a blue cutting mat, aligning it with a ruler. C then adjusts the cardboard, ensuring it is properly positioned for cutting. C picks up a pair of scissors and begins to cut the cardboard along the ruler's edge.",4995,495
output/frames/4995/img_001963.jpg,1723,2054,1963,"C places a piece of cardboard on a blue cutting mat, aligning it with a ruler. C then adjusts the cardboard, ensuring it is properly positioned for cutting. C picks up a pair of scissors and begins to cut the cardboard along the ruler's edge.",4995,495
output/frames/4995/img_002407.jpg,2407,2828,2407,C places a ruler on a piece of cardboard and uses a craft knife to cut along the edge of the ruler. C then adjusts the ruler and continues cutting the cardboard. C then lifts the ruler and begins to cut along the edge of the cardboard.,4995,495
output/frames/4995/img_002422.jpg,2407,2828,2422,C places a ruler on a piece of cardboard and uses a craft knife to cut along the edge of the ruler. C then adjusts the ruler and continues cutting the cardboard. C then lifts the ruler and begins to cut along the edge of the cardboard.,4995,495
output/frames/4995/img_002437.jpg,2407,2828,2437,C places a ruler on a piece of cardboard and uses a craft knife to cut along the edge of the ruler. C then adjusts the ruler and continues cutting the cardboard. C then lifts the ruler and begins to cut along the edge of the cardboard.,4995,495
output/frames/4995/img_002452.jpg,2407,2828,2452,C places a ruler on a piece of cardboard and uses a craft knife to cut along the edge of the ruler. C then adjusts the ruler and continues cutting the cardboard. C then lifts the ruler and begins to cut along the edge of the cardboard.,4995,495
