path,start,end,index,caption,video_id,video_rank
output/frames/4902/img_003688.jpg,3688,3902,3688,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003689.jpg,3688,3902,3689,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003690.jpg,3688,3902,3690,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003691.jpg,3688,3902,3691,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003692.jpg,3688,3902,3692,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003693.jpg,3688,3902,3693,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003694.jpg,3688,3902,3694,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003695.jpg,3688,3902,3695,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003696.jpg,3688,3902,3696,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003697.jpg,3688,3902,3697,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003698.jpg,3688,3902,3698,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003699.jpg,3688,3902,3699,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003700.jpg,3688,3902,3700,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003701.jpg,3688,3902,3701,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003702.jpg,3688,3902,3702,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003703.jpg,3688,3902,3703,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
output/frames/4902/img_003704.jpg,3688,3902,3704,"C picks up a pot from the counter and places it on the stove. C then adjusts the pot on the stove, ensuring it is properly positioned. C turns on the stove, preparing to cook.",4902,487
