snapshot,question_id,answer,gt,correct
28,43,E,B,False
55,224,B,A,False
75,493,A,D,False
75,583,E,E,True
77,22,A,E,False
81,722,D,C,False
86,267,D,C,False
97,288,A,D,False
97,375,E,B,False
102,107,C,A,False
103,7,B,D,False
103,410,C,E,False
107,670,E,C,False
111,18,D,D,True
111,54,E,A,False
116,120,E,E,True
118,599,C,B,False
126,683,D,C,False
126,1114,E,E,True
127,1024,E,E,True
131,72,A,A,True
132,827,A,C,False
135,730,C,A,False
148,566,D,C,False
150,135,D,A,False
151,995,E,A,False
152,1405,E,D,False
155,677,D,E,False
157,954,D,A,False
157,1250,E,B,False
160,631,B,C,False
167,1325,C,E,False
167,1490,B,B,True
169,1246,B,D,False
170,133,B,B,True
170,144,A,A,True
177,1380,C,B,False
179,1100,A,B,False
181,1625,B,A,False
182,449,E,B,False
183,1347,E,B,False
184,1131,B,A,False
188,492,C,E,False
188,750,A,A,True
191,205,E,C,False
195,39,A,D,False
195,1600,D,D,True
196,1497,B,D,False
198,1348,E,E,True
203,1622,C,E,False
204,1141,E,B,False
209,292,B,A,False
209,1772,E,A,False
211,1542,E,C,False
216,2136,B,E,False
219,191,E,E,True
219,367,D,D,True
219,1521,E,E,True
222,1729,B,C,False
223,534,E,A,False
226,85,E,E,True
227,1803,A,A,True
228,294,D,E,False
232,302,C,A,False
238,1361,E,E,True
240,1732,D,D,True
241,1722,E,E,True
245,1393,B,A,False
248,1121,C,E,False
251,830,B,A,False
256,1129,A,C,False
256,1559,D,D,True
258,2064,C,B,False
259,1691,A,D,False
261,1140,B,C,False
265,1257,E,A,False
267,2605,A,E,False
268,1021,D,A,False
271,250,A,A,True
271,2176,B,C,False
273,2677,A,E,False
274,16,C,E,False
274,2779,A,E,False
275,2236,D,D,True
276,777,C,D,False
276,1395,D,B,False
279,674,E,E,True
280,148,A,E,False
287,241,A,A,True
287,906,A,E,False
287,1168,E,D,False
288,2831,E,C,False
290,1786,E,E,True
291,2557,C,C,True
292,842,E,E,True
292,2115,D,B,False
293,434,C,D,False
296,975,B,B,True
298,2012,E,C,False
299,2522,D,D,True
304,587,C,D,False
305,819,E,B,False
306,195,A,A,True
306,2659,A,D,False
307,1594,C,C,True
307,1892,E,E,True
308,934,A,C,False
310,894,B,A,False
